何,what,nani
あ,a,a
あなた,you,anata
言,Word,gen
行,line,kudari
人,Man,hito
知,Knowledge,chi
事,case,koto
彼女,she,kanojo
お前,you,omae
話,Story,hanashi
来,Coming,ki
分か,Division,waka
者,person,mono
聞,Hearing,聞
死,death,shi
時,Time,toki
殺,Murder,ya
前,Before,mae
中,During ~,naka
達,Daiser,itaru
必要,need,hitsuyō
あの,that,ano
気,air,ki
大丈夫,are you OK,daijōbu
自分,myself,jibun
持,Holding,ji
本当,TRUE,hontō
時間,time,jikan
我々,we,wareware
一,one,ichi
的,Intended,teki
無,Nothing,mu
ありがとう,thank you,arigatō
家,House,ie
会,Meeting,kai
日,Day,hi
年,Year,toshi
仕事,work,shigoto
手,hand,te
一緒,together,issho
後,rear,nochi
出来,Good,deki
他,other,ta
入,Entering,iri
電話,phone,denwa
目,eye,me
様,looks,yō
分,Part,bun
車,car,kuruma
所,Place,tokoro
あんた,You,anta
度,Every time,do
同じ,same,onaji
場所,place,basho
問題,problem,mondai
子供,child,kodomo
愛,Love,ai
金,Money,kimu
名前,name,namae
子,Child,ko
信,Religion,shin
さあ,here we go,sā
少し,a bit,sukoshi
使,Use,shi
全て,all,subete
世界,world,sekai
教え,lesson,oshie
通り,street,tōri
来る,come,kuru
上,Up,ue
入れ,Get in,ire
人間,human,ningen
行け,go,ike
今日,today,kyō
物,thing,mono
女,woman,onna
呼,Call,ko
生き,Life,iki
あれ,that,are
じゃあ,Then,jā
止め,Stop,tome
心配,anxiety,shimpai
母,mother,haha
連れ,Companion,tsure
関係,relationship,kankei
外,Outside,soto
家族,family,kazoku
起き,Rising,oki
意味,meaning,imi
神,God,kami
警察,police,keisatsu
力,Power,chikara
最後,last,saigo
作,Work,saku
次,Next,tsugi
息子,son,musuko
取,Take,to
全部,All,zembu
間,while,ma
書,book,sho
捜査,investigation,sōsa
起こ,Ranging,oko
回,times,kai
別,another,betsu
情報,information,jōhō
理由,reason,riyū
数,number,kazu
一人,One person,ichinin
部屋,room,heya
以上,that's all,ijō
人生,life,jinsei
急,Sudden,kyū
食べ,eat,tabe
女性,woman,josei
続け,continue,tsuzuke
事件,Case,jiken
始め,start,hajime
最初,first time,saisho
連絡,contact,renraku
まあ,oh dear,mā
調べ,Investigation,shirabe
安全,safety,anzen
下さ,Slapstick,kudasa
楽し,Pleasure,tanoshi
殺人,murder,satsujin
下,under,shita
万,Ten thousand,ban
友達,friend,tomodachi
約束,promise,yakusoku
二,two,ni
